timestamp_gmt3,session_id,src_ip,files_uploaded,wazuh_rule
2026-08-23 19:21,2164f7c342d1,130.12.180.51,7,100303
2026-08-23 23:15,4f93cc74f36d,130.12.180.51,7,100303
2026-08-24 19:23,4c3ad9299be1,130.12.180.51,7,100303
2026-08-28 06:33,bd5183b86afd,130.12.180.51,7,100311
2026-08-29 15:21,4274139047bb,77.90.185.20,7,100311
2026-08-29 17:13,fe80d6d8ba2d,130.12.180.51,7,100311
2026-08-31 18:39,9be203343aad,130.12.180.51,7,100311
2026-08-31 20:00,cc9fd4c7b78f,130.12.180.51,7,100311
2026-09-01 13:45,3913e33d1831,130.12.180.51,7,100311
2026-09-02 15:51,b39bc4d26a4c,130.12.180.51,7,100311
2026-09-02 18:54,c3f1198a50d3,130.12.180.51,7,100311
2026-09-03 14:42,5ebc36734b58,130.12.180.51,7,100311
2026-09-03 20:27,57aeb1316f54,130.12.180.51,7,100311
